timestamps,TP9,AF7,AF8,TP10,Right AUX
1601457520.356,-0.977,-25.391,-36.133,-40.527,0.000
1601457520.360,-19.043,-25.391,-38.574,-43.457,0.000
1601457520.364,-62.012,-31.250,-33.691,-47.852,0.000
1601457520.368,-76.172,-33.691,-27.832,-47.363,0.000
1601457520.372,-48.340,-39.551,-27.344,-42.480,0.000
1601457520.376,-13.672,-30.273,-11.719,-35.645,0.000
1601457520.380,-23.438,-29.297,-17.578,-40.527,0.000
1601457520.384,-71.289,-44.434,-45.410,-55.664,0.000
1601457520.387,-86.426,-51.270,-52.734,-58.594,0.000
1601457520.391,-61.035,-45.410,-43.945,-53.223,0.000
1601457520.395,-24.414,-31.250,-31.738,-38.086,0.000
1601457520.399,-17.090,-34.180,-32.715,-33.691,0.000
1601457520.403,-56.152,-48.828,-41.016,-46.387,0.000
1601457520.407,-86.426,-55.176,-41.504,-52.246,0.000
1601457520.411,-67.383,-45.410,-30.762,-44.922,0.000
1601457520.415,-15.625,-27.832,-21.484,-27.344,0.000
1601457520.419,-17.578,-30.762,-25.391,-26.367,0.000
1601457520.423,-60.059,-42.969,-42.480,-46.875,0.000
1601457520.427,-95.703,-50.293,-50.781,-54.688,0.000
1601457520.430,-88.867,-45.410,-36.621,-48.340,0.000
1601457520.434,-40.039,-36.133,-26.855,-40.527,0.000
1601457520.438,-18.555,-33.691,-25.879,-33.691,0.000
1601457520.442,-37.598,-32.227,-24.902,-34.668,0.000
1601457520.446,-73.730,-37.598,-36.621,-53.223,0.000
1601457520.450,-72.754,-36.133,-39.062,-60.547,0.000
1601457520.454,-21.973,-28.809,-28.320,-41.992,0.000
1601457520.458,-3.906,-22.461,-25.879,-31.738,0.000
1601457520.462,-33.691,-16.113,-24.902,-43.945,0.000
1601457520.466,-75.684,-26.367,-43.945,-60.547,0.000
1601457520.469,-77.148,-33.203,-56.152,-56.641,0.000
1601457520.473,-22.949,-24.902,-35.156,-35.156,0.000
1601457520.477,12.207,-21.484,-23.438,-30.273,0.000
1601457520.481,-15.625,-31.738,-34.180,-42.969,0.000
1601457520.485,-67.871,-37.598,-43.457,-50.293,0.000
1601457520.489,-62.500,-39.551,-49.316,-44.922,0.000
1601457520.493,-8.789,-38.086,-32.715,-25.391,0.000
1601457520.497,7.812,-30.762,-18.066,-18.066,0.000
1601457520.501,-18.066,-20.996,-27.344,-27.344,0.000
1601457520.505,-65.918,-19.531,-42.969,-43.945,0.000
1601457520.509,-71.289,-31.738,-46.875,-47.852,0.000
1601457520.512,-17.090,-27.344,-32.715,-25.391,0.000
1601457520.516,12.695,-18.066,-22.949,-15.625,0.000
1601457520.520,-8.789,-24.902,-23.438,-19.043,0.000
1601457520.524,-41.504,-34.668,-35.645,-24.902,0.000
1601457520.528,-62.012,-35.645,-36.621,-35.645,0.000
1601457520.532,-38.086,-26.855,-25.879,-35.645,0.000
1601457520.536,7.812,-18.555,-23.438,-22.949,0.000
1601457520.540,-5.371,-21.484,-19.531,-24.902,0.000
1601457520.544,-53.223,-25.391,-27.832,-38.574,0.000
1601457520.548,-71.777,-36.621,-38.574,-44.922,0.000
1601457520.552,-41.504,-47.363,-35.645,-39.062,0.000
1601457520.555,8.301,-27.832,-24.414,-19.531,0.000
1601457520.559,20.020,-16.113,-20.020,-14.160,0.000
1601457520.563,-33.691,-31.738,-35.156,-32.227,0.000
1601457520.567,-82.520,-42.969,-47.852,-39.551,0.000
1601457520.571,-56.641,-34.668,-41.504,-30.762,0.000
1601457520.575,-11.230,-33.203,-25.879,-20.508,0.000
1601457520.579,-3.906,-37.598,-18.066,-12.695,0.000
1601457520.583,-47.852,-36.133,-35.156,-22.949,0.000
1601457520.587,-83.008,-32.227,-45.898,-37.598,0.000
1601457520.591,-61.523,-30.762,-29.297,-29.785,0.000
1601457520.594,-14.160,-28.809,-17.578,-17.090,0.000
1601457520.598,-3.418,-34.668,-22.949,-21.484,0.000
1601457520.602,-44.922,-36.133,-33.691,-36.621,0.000
1601457520.606,-70.312,-31.250,-29.297,-38.086,0.000
1601457520.610,-52.246,-33.203,-15.137,-29.785,0.000
1601457520.614,-11.719,-29.297,-19.043,-17.090,0.000
1601457520.618,17.578,-25.391,-22.461,-7.812,0.000
1601457520.622,-22.461,-32.227,-31.250,-22.949,0.000
1601457520.626,-79.590,-30.762,-44.922,-35.156,0.000
1601457520.630,-73.242,-37.598,-44.434,-31.738,0.000
1601457520.634,-20.020,-38.086,-25.879,-15.625,0.000
1601457520.637,10.742,-20.996,-10.254,-11.230,0.000
1601457520.641,-22.949,-25.391,-24.414,-29.297,0.000
1601457520.645,-71.777,-36.133,-33.691,-39.551,0.000
1601457520.649,-74.219,-36.621,-35.156,-37.598,0.000
1601457520.653,-27.344,-31.738,-31.250,-22.949,0.000
1601457520.657,5.371,-18.066,-20.020,-6.836,0.000
1601457520.661,0.488,-12.695,-22.949,-9.277,0.000
1601457520.665,-34.668,-25.879,-30.762,-17.578,0.000
1601457520.669,-62.988,-38.574,-38.086,-18.555,0.000
1601457520.673,-17.090,-27.344,-33.203,2.441,0.000
1601457520.677,31.738,-21.484,-15.625,22.949,0.000
1601457520.680,11.230,-27.344,-19.043,10.742,0.000
1601457520.684,-37.109,-30.273,-37.109,-6.348,0.000
1601457520.688,-46.387,-36.133,-35.156,-12.695,0.000
1601457520.692,-11.230,-33.203,-25.391,-9.766,0.000
1601457520.696,27.832,-14.160,-15.625,0.488,0.000
1601457520.700,20.020,-6.836,-16.113,-7.324,0.000
1601457520.704,-29.785,-18.555,-25.391,-22.949,0.000
1601457520.708,-59.082,-35.156,-34.668,-28.320,0.000
1601457520.712,-31.738,-37.109,-34.180,-20.996,0.000
1601457520.716,17.090,-25.879,-19.531,-3.906,0.000
1601457520.719,19.531,-25.391,-20.996,-1.953,0.000
1601457520.723,-33.691,-33.691,-41.016,-20.508,0.000
1601457520.727,-73.730,-43.457,-43.945,-32.227,0.000
1601457520.731,-41.504,-37.598,-28.809,-20.508,0.000
1601457520.735,13.672,-19.043,-15.137,-7.812,0.000
1601457520.739,0.977,-20.996,-20.020,-11.719,0.000
1601457520.743,-52.734,-44.922,-41.016,-30.762,0.000
1601457520.747,-79.590,-50.781,-34.180,-41.992,0.000
1601457520.751,-64.453,-41.016,-24.902,-41.992,0.000
1601457520.755,-19.531,-24.414,-24.414,-35.156,0.000
1601457520.759,-5.859,-18.066,-26.367,-36.133,0.000
1601457520.762,-46.875,-28.809,-37.598,-42.969,0.000
1601457520.766,-82.520,-44.434,-43.457,-50.781,0.000
1601457520.770,-85.449,-40.527,-33.203,-63.965,0.000
1601457520.774,-44.922,-31.250,-21.973,-57.129,0.000
1601457520.778,-28.320,-39.551,-20.508,-53.711,0.000
1601457520.782,-68.848,-42.969,-31.250,-69.336,0.000
1601457520.786,-105.469,-48.828,-38.574,-69.824,0.000
1601457520.790,-96.680,-58.594,-27.344,-61.523,0.000
1601457520.794,-45.410,-49.316,-29.785,-50.293,0.000
1601457520.798,-24.414,-29.297,-35.645,-38.574,0.000
1601457520.802,-50.781,-35.645,-37.109,-40.039,0.000
1601457520.805,-84.473,-45.410,-42.480,-45.898,0.000
1601457520.809,-88.379,-51.270,-44.434,-44.434,0.000
1601457520.813,-47.363,-51.270,-31.738,-30.762,0.000
1601457520.817,-7.812,-43.457,-21.973,-16.113,0.000
1601457520.821,-18.066,-46.875,-26.367,-18.066,0.000
1601457520.825,-60.547,-42.969,-29.785,-32.227,0.000
1601457520.829,-67.871,-41.016,-39.551,-35.645,0.000
1601457520.833,-11.719,-43.945,-32.715,-20.508,0.000
1601457520.837,21.973,-34.668,-27.344,-14.648,0.000
1601457520.841,-7.324,-34.668,-33.691,-24.414,0.000
1601457520.844,-50.293,-46.875,-40.039,-38.574,0.000
1601457520.848,-64.453,-47.852,-41.992,-38.086,0.000
1601457520.852,-31.250,-36.621,-27.344,-24.902,0.000
1601457520.856,8.301,-24.902,-18.555,-18.555,0.000
1601457520.860,3.906,-22.461,-30.273,-21.973,0.000
1601457520.864,-48.340,-35.156,-45.410,-41.016,0.000
1601457520.868,-67.383,-36.621,-41.504,-47.363,0.000
1601457520.872,-39.062,-27.832,-34.668,-38.086,0.000
1601457520.876,-2.930,-30.762,-25.879,-31.250,0.000
1601457520.880,-9.766,-31.250,-29.785,-34.668,0.000
1601457520.884,-63.965,-27.344,-41.016,-49.805,0.000
1601457520.887,-95.215,-42.969,-44.434,-60.547,0.000
1601457520.891,-68.359,-55.664,-40.039,-53.223,0.000
1601457520.895,-15.625,-37.598,-24.414,-46.387,0.000
1601457520.899,-18.066,-37.598,-32.227,-53.223,0.000
1601457520.903,-76.172,-45.410,-48.828,-64.453,0.000
1601457520.907,-105.469,-41.992,-54.199,-77.637,0.000
1601457520.911,-95.215,-42.969,-51.758,-80.566,0.000
1601457520.915,-40.039,-31.250,-34.180,-61.523,0.000
1601457520.919,-15.137,-25.879,-27.832,-48.828,0.000
1601457520.923,-53.711,-34.668,-40.527,-59.082,0.000
1601457520.927,-85.938,-35.156,-44.434,-62.500,0.000
1601457520.930,-73.730,-31.738,-33.203,-52.734,0.000
1601457520.934,-24.902,-28.320,-22.949,-37.598,0.000
1601457520.938,-4.395,-24.902,-20.996,-28.809,0.000
1601457520.942,-46.387,-32.227,-25.879,-40.039,0.000
1601457520.946,-89.355,-33.203,-42.480,-53.711,0.000
1601457520.950,-80.078,-35.645,-46.875,-51.270,0.000
1601457520.954,-31.250,-32.715,-34.180,-34.668,0.000
1601457520.958,-1.953,-23.926,-30.762,-23.926,0.000
1601457520.962,-24.902,-31.738,-34.668,-29.785,0.000
1601457520.966,-70.312,-43.457,-40.527,-47.363,0.000
1601457520.969,-73.242,-43.945,-36.133,-48.828,0.000
1601457520.973,-26.367,-34.668,-32.227,-31.250,0.000
1601457520.977,11.230,-25.391,-24.414,-24.902,0.000
1601457520.981,-9.277,-30.273,-19.043,-35.156,0.000
1601457520.985,-57.617,-37.598,-35.156,-49.805,0.000
1601457520.989,-71.289,-42.969,-52.246,-54.199,0.000
1601457520.993,-39.062,-43.457,-47.363,-43.945,0.000
1601457520.997,-5.371,-35.645,-27.344,-36.621,0.000
1601457521.001,-16.602,-33.203,-24.414,-34.668,0.000
1601457521.005,-74.219,-45.898,-40.039,-47.852,0.000
1601457521.009,-89.844,-49.805,-41.992,-54.688,0.000
1601457521.012,-43.945,-36.133,-24.414,-29.785,0.000
1601457521.016,-11.230,-20.996,-20.508,-10.742,0.000
1601457521.020,-24.414,-33.203,-31.250,-26.367,0.000
1601457521.024,-71.289,-44.434,-39.062,-46.387,0.000
1601457521.028,-92.773,-39.062,-39.062,-49.805,0.000
1601457521.032,-60.547,-36.133,-31.250,-42.480,0.000
1601457521.036,-8.789,-28.809,-19.043,-25.391,0.000
1601457521.040,-9.277,-23.926,-7.812,-25.879,0.000
1601457521.044,-58.594,-35.645,-32.227,-47.852,0.000
1601457521.048,-84.473,-44.434,-49.805,-49.805,0.000
1601457521.052,-67.383,-34.668,-33.203,-39.551,0.000
1601457521.055,-25.391,-25.391,-23.438,-30.762,0.000
1601457521.059,-20.020,-27.344,-22.461,-29.297,0.000
1601457521.063,-67.383,-44.922,-34.180,-49.316,0.000
1601457521.067,-85.938,-51.758,-42.969,-59.082,0.000
1601457521.071,-62.988,-38.574,-40.527,-46.875,0.000
1601457521.075,-18.555,-38.086,-30.273,-35.156,0.000
1601457521.079,4.883,-40.039,-25.879,-29.785,0.000
1601457521.083,-34.180,-41.504,-41.016,-38.574,0.000
1601457521.087,-68.359,-42.480,-44.434,-47.363,0.000
1601457521.091,-58.594,-41.992,-27.344,-39.062,0.000
1601457521.094,-17.090,-36.621,-20.996,-20.020,0.000
1601457521.098,-2.441,-34.668,-31.738,-21.484,0.000
1601457521.102,-46.387,-45.898,-37.598,-41.992,0.000
1601457521.106,-88.379,-43.457,-40.039,-55.664,0.000
1601457521.110,-80.566,-48.340,-39.062,-50.293,0.000
1601457521.114,-34.668,-48.828,-34.668,-33.691,0.000
1601457521.118,-10.742,-28.320,-20.508,-26.367,0.000
1601457521.122,-37.598,-36.133,-22.461,-38.086,0.000
1601457521.126,-81.055,-58.105,-36.133,-56.641,0.000
1601457521.130,-84.961,-54.688,-31.250,-52.246,0.000
1601457521.134,-41.504,-33.691,-27.344,-41.016,0.000
1601457521.137,-11.719,-28.809,-28.320,-35.156,0.000
1601457521.141,-32.715,-38.574,-29.785,-38.086,0.000
1601457521.145,-86.914,-49.316,-39.062,-57.617,0.000
1601457521.149,-103.516,-52.734,-46.387,-60.547,0.000
1601457521.153,-53.711,-33.203,-28.320,-41.016,0.000
1601457521.157,-11.719,-23.926,-16.602,-31.250,0.000
1601457521.161,-29.785,-28.809,-35.156,-39.062,0.000
1601457521.165,-81.543,-37.109,-41.016,-50.293,0.000
1601457521.169,-86.426,-48.828,-35.645,-48.828,0.000
1601457521.173,-33.691,-41.992,-23.926,-23.926,0.000
1601457521.177,2.441,-38.086,-13.672,-14.160,0.000
1601457521.180,7.324,-41.016,-23.438,-22.949,0.000
1601457521.184,-35.645,-43.457,-40.527,-40.527,0.000
1601457521.188,-64.941,-39.062,-32.715,-40.527,0.000
1601457521.192,-21.484,-31.250,-17.090,-19.531,0.000
1601457521.196,18.066,-20.996,-18.555,-12.695,0.000
1601457521.200,5.859,-19.043,-18.555,-12.695,0.000
1601457521.204,-45.410,-39.062,-28.320,-25.879,0.000
1601457521.208,-76.660,-48.340,-41.016,-36.621,0.000
1601457521.212,-51.758,-44.434,-31.738,-33.691,0.000
1601457521.216,-9.277,-34.668,-22.949,-26.367,0.000
1601457521.219,-1.465,-26.855,-26.855,-23.438,0.000
1601457521.223,-47.852,-39.551,-29.785,-41.016,0.000
1601457521.227,-86.914,-45.898,-33.203,-54.199,0.000
1601457521.231,-66.895,-38.574,-34.180,-47.852,0.000
1601457521.235,-26.855,-36.621,-37.109,-38.574,0.000
1601457521.239,-8.301,-35.645,-41.504,-38.574,0.000
1601457521.243,-37.598,-39.551,-32.715,-43.457,0.000
1601457521.247,-93.750,-49.316,-31.250,-52.246,0.000
1601457521.251,-83.496,-50.293,-29.297,-55.664,0.000
1601457521.255,-30.762,-45.898,-25.391,-43.457,0.000
1601457521.259,-11.719,-33.691,-24.414,-37.598,0.000
1601457521.262,-48.828,-35.645,-30.273,-46.875,0.000
1601457521.266,-93.750,-45.410,-42.969,-63.477,0.000
1601457521.270,-79.102,-42.969,-35.156,-56.152,0.000
1601457521.274,-31.738,-28.320,-26.367,-39.062,0.000
1601457521.278,-6.836,-34.668,-34.180,-30.762,0.000
1601457521.282,-21.484,-51.758,-37.109,-20.508,0.000
1601457521.286,-62.012,-42.969,-39.062,-37.598,0.000
1601457521.290,-67.383,-29.785,-42.480,-62.988,0.000
1601457521.294,-29.785,-25.391,-31.250,-46.875,0.000
1601457521.298,-10.742,-27.344,-31.250,-34.668,0.000
1601457521.302,-33.691,-38.574,-33.203,-45.410,0.000
1601457521.305,-75.195,-52.246,-38.574,-55.176,0.000
1601457521.309,-90.820,-50.781,-50.781,-60.547,0.000
1601457521.313,-44.922,-37.109,-37.598,-49.316,0.000
1601457521.317,1.953,-36.133,-21.973,-37.598,0.000
1601457521.321,-12.207,-37.598,-26.855,-34.668,0.000
1601457521.325,-57.129,-33.203,-31.738,-40.039,0.000
1601457521.329,-59.570,-47.363,-34.668,-48.340,0.000
1601457521.333,-24.902,-50.293,-28.320,-36.621,0.000
1601457521.337,4.883,-29.785,-20.508,-20.996,0.000
1601457521.341,1.953,-19.043,-25.391,-18.066,0.000
1601457521.344,-46.387,-41.016,-37.598,-33.691,0.000
1601457521.348,-66.406,-54.199,-42.969,-42.480,0.000
1601457521.352,-28.809,-38.574,-39.062,-24.902,0.000
1601457521.356,13.184,-29.297,-32.227,-9.766,0.000
1601457521.360,17.578,-26.367,-21.973,-12.207,0.000
1601457521.364,-29.785,-32.227,-25.391,-25.879,0.000
1601457521.368,-68.848,-39.062,-32.227,-29.297,0.000
1601457521.372,-41.992,-40.039,-32.715,-22.461,0.000
1601457521.376,12.695,-36.621,-30.762,-8.301,0.000
1601457521.380,27.832,-30.273,-26.367,0.000,0.000
1601457521.384,-18.066,-30.762,-36.133,-17.578,0.000
1601457521.387,-51.270,-34.180,-43.945,-25.879,0.000
1601457521.391,-39.062,-39.551,-41.504,-20.508,0.000
1601457521.395,18.555,-33.203,-27.344,-9.766,0.000
1601457521.399,33.691,-25.879,-18.066,-4.395,0.000
1601457521.403,-15.137,-36.133,-24.902,-8.789,0.000
1601457521.407,-45.898,-42.480,-37.109,-21.973,0.000
1601457521.411,-22.949,-34.668,-31.738,-22.949,0.000
1601457521.415,16.113,-22.461,-24.414,-5.371,0.000
1601457521.419,20.996,-18.066,-19.043,-3.906,0.000
1601457521.423,-12.207,-25.879,-20.508,-19.043,0.000
1601457521.427,-53.711,-34.668,-29.785,-28.809,0.000
1601457521.430,-43.457,-37.109,-29.785,-27.344,0.000
1601457521.434,0.977,-28.809,-22.461,-18.066,0.000
1601457521.438,21.484,-24.414,-18.555,-17.578,0.000
1601457521.442,-11.230,-28.809,-23.926,-28.320,0.000
1601457521.446,-61.035,-31.250,-33.203,-39.551,0.000
1601457521.450,-65.430,-41.504,-38.574,-51.758,0.000
1601457521.454,-29.297,-43.945,-31.738,-40.527,0.000
1601457521.458,-5.371,-37.109,-23.926,-26.367,0.000
1601457521.462,-27.832,-31.738,-30.273,-34.668,0.000
1601457521.466,-80.078,-46.387,-43.945,-45.410,0.000
1601457521.469,-90.820,-56.641,-43.945,-54.199,0.000
1601457521.473,-43.457,-42.480,-19.043,-40.039,0.000
1601457521.477,-3.418,-37.109,-14.160,-25.879,0.000
1601457521.481,-23.438,-32.227,-32.227,-35.156,0.000
1601457521.485,-70.801,-35.645,-34.668,-49.805,0.000
1601457521.489,-84.473,-49.316,-36.621,-50.293,0.000
1601457521.493,-43.945,-43.457,-22.949,-35.645,0.000
1601457521.497,-8.789,-37.598,-19.043,-31.250,0.000
1601457521.501,-13.672,-36.621,-32.227,-34.180,0.000
1601457521.505,-54.688,-38.574,-28.809,-41.016,0.000
1601457521.509,-85.449,-50.293,-32.227,-46.875,0.000
1601457521.512,-56.152,-46.387,-35.645,-42.969,0.000
1601457521.516,-13.672,-36.133,-28.809,-32.715,0.000
1601457521.520,-13.672,-33.691,-25.879,-29.785,0.000
1601457521.524,-45.898,-31.738,-28.320,-36.621,0.000
1601457521.528,-68.848,-39.062,-38.086,-41.016,0.000
1601457521.532,-46.387,-39.062,-35.156,-28.320,0.000
1601457521.536,4.395,-22.461,-21.484,-13.184,0.000
1601457521.540,6.836,-17.090,-27.344,-11.230,0.000
1601457521.544,-32.227,-22.461,-34.180,-20.020,0.000
1601457521.548,-65.430,-38.086,-38.086,-30.273,0.000
1601457521.552,-53.223,-46.387,-48.340,-31.738,0.000
1601457521.555,-4.883,-36.133,-37.109,-22.949,0.000
1601457521.559,1.953,-32.227,-26.367,-23.438,0.000
1601457521.563,-34.668,-29.785,-36.133,-30.273,0.000
1601457521.567,-72.754,-35.156,-39.551,-38.574,0.000
1601457521.571,-70.312,-42.480,-40.039,-39.062,0.000
1601457521.575,-20.020,-32.715,-37.598,-24.902,0.000
1601457521.579,-1.953,-29.785,-30.762,-19.531,0.000
1601457521.583,-36.133,-39.551,-32.715,-25.879,0.000
1601457521.587,-69.336,-45.898,-37.598,-37.598,0.000
1601457521.591,-66.895,-44.434,-35.645,-31.250,0.000
1601457521.594,-22.461,-36.621,-30.273,-18.555,0.000
1601457521.598,6.348,-22.949,-21.484,-15.625,0.000
1601457521.602,-20.508,-28.320,-21.484,-22.461,0.000
1601457521.606,-70.801,-52.734,-26.855,-38.574,0.000
1601457521.610,-68.848,-53.711,-29.297,-41.504,0.000
1601457521.614,-24.414,-42.480,-30.273,-28.320,0.000
1601457521.618,-0.488,-37.598,-32.227,-23.926,0.000
1601457521.622,-19.531,-32.715,-38.086,-32.715,0.000
1601457521.626,-69.824,-36.621,-47.852,-49.805,0.000
1601457521.630,-78.613,-43.945,-47.852,-55.664,0.000
1601457521.634,-35.156,-41.016,-40.527,-37.598,0.000
1601457521.637,-2.930,-38.086,-21.973,-24.414,0.000
1601457521.641,-20.508,-37.598,-23.438,-36.621,0.000
1601457521.645,-76.172,-45.410,-45.898,-61.523,0.000
1601457521.649,-93.262,-51.270,-46.387,-66.895,0.000
1601457521.653,-46.387,-37.109,-34.180,-54.688,0.000
1601457521.657,-4.883,-29.785,-27.832,-41.504,0.000
1601457521.661,-20.508,-34.180,-39.551,-43.945,0.000
1601457521.665,-62.500,-33.203,-38.574,-59.570,0.000
1601457521.669,-80.566,-36.621,-36.133,-61.523,0.000
1601457521.673,-57.617,-37.109,-42.969,-43.945,0.000
1601457521.677,-13.672,-37.598,-33.691,-36.133,0.000
1601457521.680,-6.836,-37.109,-18.066,-33.691,0.000
1601457521.684,-56.152,-42.480,-33.203,-47.852,0.000
1601457521.688,-88.867,-51.758,-44.434,-65.430,0.000
1601457521.692,-53.223,-44.922,-33.203,-48.828,0.000
1601457521.696,-5.371,-25.879,-32.227,-27.344,0.000
1601457521.700,2.930,-11.719,-21.973,-14.648,0.000
1601457521.704,-44.434,-21.973,-22.949,-35.645,0.000
1601457521.708,-86.914,-35.156,-36.133,-56.152,0.000
1601457521.712,-64.941,-35.645,-41.016,-45.410,0.000
1601457521.716,-9.277,-31.738,-30.762,-27.344,0.000
1601457521.719,3.418,-34.180,-24.902,-24.414,0.000
1601457521.723,-48.828,-37.598,-33.203,-41.504,0.000
1601457521.727,-75.684,-40.527,-35.156,-47.363,0.000
1601457521.731,-54.688,-49.805,-35.645,-36.621,0.000
1601457521.735,-6.836,-33.203,-29.785,-20.020,0.000
1601457521.739,0.977,-29.785,-33.691,-17.578,0.000
1601457521.743,-43.457,-41.504,-43.457,-30.762,0.000
1601457521.747,-79.590,-39.062,-45.410,-40.527,0.000
1601457521.751,-70.801,-36.133,-36.133,-34.180,0.000
1601457521.755,-20.020,-30.273,-22.949,-19.043,0.000
1601457521.759,3.906,-23.438,-24.902,-20.508,0.000
1601457521.762,-24.902,-25.391,-32.227,-34.180,0.000
1601457521.766,-67.871,-34.668,-37.109,-41.016,0.000
1601457521.770,-67.383,-43.945,-40.527,-41.504,0.000
1601457521.774,-15.137,-38.574,-29.785,-28.320,0.000
1601457521.778,8.789,-25.879,-21.484,-17.578,0.000
1601457521.782,-25.879,-32.715,-20.996,-31.738,0.000
1601457521.786,-78.125,-45.410,-31.250,-51.270,0.000
1601457521.790,-85.449,-48.828,-30.273,-48.828,0.000
1601457521.794,-40.527,-35.156,-14.160,-35.645,0.000
1601457521.798,1.953,-31.250,-18.066,-27.344,0.000
1601457521.802,-19.043,-43.945,-22.461,-33.691,0.000
1601457521.805,-86.914,-45.410,-34.180,-58.105,0.000
1601457521.809,-94.727,-41.016,-44.922,-63.965,0.000
1601457521.813,-46.387,-28.809,-33.691,-43.457,0.000
1601457521.817,-13.672,-17.090,-19.043,-31.738,0.000
1601457521.821,-22.949,-17.578,-19.531,-37.109,0.000
1601457521.825,-67.871,-37.598,-33.203,-48.828,0.000
1601457521.829,-90.820,-56.641,-42.969,-53.711,0.000
1601457521.833,-50.781,-46.387,-34.668,-41.016,0.000
1601457521.837,-4.883,-29.785,-24.414,-27.832,0.000
1601457521.841,-1.953,-28.320,-20.508,-27.344,0.000
1601457521.844,-38.086,-35.156,-27.344,-32.715,0.000
1601457521.848,-70.312,-37.598,-37.109,-40.527,0.000
1601457521.852,-48.340,-37.598,-34.180,-34.180,0.000
1601457521.856,-2.441,-31.738,-28.320,-20.020,0.000
1601457521.860,-1.465,-26.367,-36.621,-25.391,0.000
1601457521.864,-47.852,-32.715,-44.922,-40.527,0.000
1601457521.868,-73.242,-41.992,-35.645,-37.109,0.000
1601457521.872,-49.316,-47.852,-29.297,-28.320,0.000
1601457521.876,-4.395,-35.645,-33.203,-25.879,0.000
1601457521.880,10.742,-21.484,-26.855,-27.344,0.000
1601457521.884,-20.508,-14.160,-29.785,-37.109,0.000
1601457521.887,-67.871,-25.391,-44.434,-47.852,0.000
1601457521.891,-67.383,-38.086,-41.992,-43.457,0.000
1601457521.895,-11.230,-30.762,-29.297,-25.879,0.000
1601457521.899,16.602,-19.531,-21.973,-16.602,0.000
1601457521.903,-13.184,-18.555,-27.344,-22.949,0.000
1601457521.907,-55.176,-24.414,-36.133,-33.691,0.000
1601457521.911,-50.293,-29.297,-29.297,-30.762,0.000
1601457521.915,1.465,-19.043,-21.484,-13.184,0.000
1601457521.919,28.809,-11.230,-26.855,-5.371,0.000
1601457521.923,-10.742,-25.879,-36.621,-15.137,0.000
1601457521.927,-58.594,-37.109,-38.574,-23.438,0.000
1601457521.930,-52.734,-38.086,-31.250,-20.508,0.000
1601457521.934,-6.348,-42.480,-29.297,-9.277,0.000
1601457521.938,20.020,-44.434,-25.391,3.418,0.000
1601457521.942,-14.160,-46.875,-26.367,-14.648,0.000
1601457521.946,-66.895,-39.551,-30.762,-47.363,0.000
1601457521.950,-84.961,-30.273,-23.926,-54.199,0.000
1601457521.954,-47.363,-20.996,-16.113,-30.762,0.000
1601457521.958,-13.184,-25.391,-12.695,-19.043,0.000
1601457521.962,-33.691,-35.156,-16.113,-33.691,0.000
1601457521.966,-80.566,-33.691,-33.691,-52.734,0.000
1601457521.969,-93.262,-42.969,-42.480,-56.641,0.000
1601457521.973,-57.129,-45.410,-38.086,-46.875,0.000
1601457521.977,-18.555,-39.062,-26.367,-38.086,0.000
1601457521.981,-22.461,-44.434,-16.113,-38.574,0.000
1601457521.985,-73.242,-55.176,-29.297,-49.805,0.000
1601457521.989,-97.656,-48.340,-42.480,-53.711,0.000
1601457521.993,-53.223,-36.621,-35.156,-46.387,0.000
1601457521.997,-1.465,-25.391,-21.484,-37.598,0.000
1601457522.001,-10.254,-24.414,-18.066,-31.250,0.000
1601457522.005,-62.012,-41.016,-36.133,-47.363,0.000
1601457522.009,-91.309,-54.199,-42.969,-59.570,0.000
1601457522.012,-57.617,-46.387,-28.809,-42.969,0.000
1601457522.016,-2.930,-20.508,-15.625,-19.531,0.000
1601457522.020,7.812,-16.602,-11.230,-11.719,0.000
1601457522.024,-47.363,-28.320,-27.832,-28.320,0.000
1601457522.028,-83.984,-31.250,-38.086,-37.598,0.000
1601457522.032,-55.664,-38.574,-31.250,-23.926,0.000
1601457522.036,-2.441,-37.598,-19.531,-12.207,0.000
1601457522.040,5.859,-26.367,-11.719,-9.277,0.000
1601457522.044,-36.621,-31.250,-21.973,-21.973,0.000
1601457522.048,-64.453,-47.852,-32.227,-35.645,0.000
1601457522.052,-55.176,-55.176,-28.809,-28.809,0.000
1601457522.055,-8.789,-34.180,-14.648,-11.719,0.000
1601457522.059,18.555,-24.902,-6.348,-8.301,0.000
1601457522.063,-17.578,-38.086,-23.438,-20.996,0.000
1601457522.067,-55.664,-40.039,-33.691,-33.203,0.000
1601457522.071,-42.969,-28.320,-35.645,-31.738,0.000
1601457522.075,-0.977,-22.461,-31.738,-23.926,0.000
1601457522.079,15.137,-20.508,-23.438,-19.531,0.000
1601457522.083,-15.137,-22.949,-32.227,-34.668,0.000
1601457522.087,-66.406,-33.203,-47.852,-55.176,0.000
1601457522.091,-71.289,-31.738,-42.969,-47.852,0.000
1601457522.094,-27.832,-30.273,-23.926,-37.109,0.000
1601457522.098,-9.766,-40.527,-22.461,-41.016,0.000
1601457522.102,-42.969,-47.852,-38.574,-56.641,0.000
1601457522.106,-90.332,-40.039,-46.875,-72.266,0.000
1601457522.110,-94.727,-44.922,-46.387,-63.965,0.000
1601457522.114,-52.734,-47.852,-44.922,-52.734,0.000
1601457522.118,-7.324,-23.438,-25.879,-43.457,0.000
